Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
BakeWarning_Body,123,The hierarchical connection of the [ {0} ] GameObjects has been broken and moved to [__UnlinkedObjects]. Please check before execution.,별도로 추가된 [ {0} ]개의 GameObject들의 계층구조가 해제되어 [__UnlinkedObjects] 으로 이동되었습니다. 실행 전에 확인하시길 바랍니다.,La connexion hiérarchique des [ {0} ] GameObjects a été rompue et déplacée vers [__UnlinkedObjects]. Veuillez vérifier avant l'exécution.,Die hierarchische Verbindung der [ {0} ] GameObjects wurde unterbrochen und zu [__UnlinkedObjects] verschoben. Bitte überprüfen Sie vor der Ausführung.,La conexión jerárquica de [ {0} ] GameObjects se ha roto y movido a [__UnlinkedObjects]. Por favor[c] compruebe antes de la ejecución.,La connessione gerarchica di [{0}] GameObjects è stata interrotta e spostata in [__UnlinkedObjects]. Si prega di verificare prima dell'esecuzione.,Den hierarkiske forbindelse af [ {0} ] GameObjects er blevet brudt og flyttet til [__UnlinkedObjects]. Tjek venligst før udførelse.,[ {0} ] GameObjectsの階層的な接続が切断され[c][__UnlinkedObjects]に移動しました。実行前に確認してください。,[ {0} ] GameObjects的分層連接已被打破並移至[__UnlinkedObjects]。執行前請檢查。,[ {0} ] GameObjects的分层连接已被打破并移至[__UnlinkedObjects]。执行前请检查。,Hierarchiczne połączenie [ {0} ] GameObjects zostało zerwane i przeniesione do [__UnlinkedObjects]. Sprawdź przed wykonaniem.,
Retarget_EnableAll_Title,124,Enable All,모든 가져오기 활성,Activer tout,Alle aktivieren,Habilitar todo,Attiva tutto,Aktivér alle,すべて有効,全部啟用,全部启用,Włącz wszystkie,
Retarget_EnableAll_Body,125,Are you sure you want to enable all Import Settings?,모든 가져오기 설정을 활성화하시겠습니까?,Êtes-vous sûr de vouloir activer tous les paramètres d'importation?,Sind Sie sicher[c] dass Sie alle Importeinstellungen aktivieren möchten?,¿Seguro que quieres habilitar todas las configuraciones de importación?,Sei sicuro di voler abilitare tutte le impostazioni di importazione?,Er du sikker på[c] at du vil aktivere alle importindstillinger?,すべてのインポート設定を有効にしてもよろしいですか？,您確定要啟用所有導入設置嗎？,您确定要启用所有导入设置吗？,Czy na pewno chcesz włączyć wszystkie ustawienia importu?,
Retarget_DisableAll_Title,126,Disable All,모든 가져오기 비활성,Désactiver tous les,Alle deaktivieren,Deshabilitar todo,Disabilitare tutto,Deaktiver alt,すべて無効,禁用所有,禁用所有,Wyłącz wszystkie,
Retarget_DisableAll_Body,127,Are you sure you want to disable all Import Settings?,모든 가져오기 설정을 비활성화하시겠습니까?,Êtes-vous sûr de vouloir désactiver tous les paramètres d'importation?,Möchten Sie wirklich alle Importeinstellungen deaktivieren?,¿Seguro que quieres deshabilitar todas las configuraciones de importación?,Sei sicuro di voler disabilitare tutte le impostazioni di importazione?,Er du sikker på[c] at du vil deaktivere alle importindstillinger?,すべてのインポート設定を無効にしてもよろしいですか？,你確定要禁用所有的導入設置嗎？,你确定要禁用所有的导入设置吗？,Czy na pewno chcesz wyłączyć wszystkie ustawienia importu?,
Retarget_EnablePart_Body,128,Are you sure you want to Enable all Import Settings of [ {0} ]?,모든 [ {0} ]의 가져오기 설정을 활성화하시겠습니까?,Êtes-vous sûr de vouloir Activer tous les paramètres d'importation de [ {0} ]?,Möchten Sie wirklich alle Importeinstellungen von [ {0} ] aktivieren?,¿Seguro que quieres habilitar todas las configuraciones de importación de [ {0} ]?,Sei sicuro di voler abilitare tutte le impostazioni di importazione di [{0}]?,Er du sikker på[c] at du vil aktivere alle importindstillinger for [ {0} ]?,[ {0} ]のすべてのインポート設定を有効にしてもよろしいですか？,您確定要啟用[ {0} ]的所有導入設置嗎？,您确定要启用[ {0} ]的所有导入设置吗？,Czy na pewno chcesz włączyć wszystkie ustawienia importowania [{0}]?,
Retarget_DisablePart_Body,129,Are you sure you want to disable all Import Settings of [ {0} ]?,모든 [ {0} ]의 가져오기 설정을 비활성화하시겠습니까?,Êtes-vous sûr de vouloir désactiver tous les paramètres d'importation de [ {0} ]?,Möchtest du wirklich alle Importeinstellungen von [ {0} ] deaktivieren?,¿Seguro que quieres deshabilitar todas las configuraciones de importación de [ {0} ]?,Sei sicuro di voler disabilitare tutte le impostazioni di importazione di [{0}]?,Er du sikker på[c] at du vil deaktivere alle importindstillinger for [ {0} ]?,[ {0} ]のすべてのインポート設定を無効にしてもよろしいですか？,您確定要禁用[ {0} ]的所有導入設置嗎？,您确定要禁用[ {0} ]的所有导入设置吗？,Czy na pewno chcesz wyłączyć wszystkie ustawienia importowania [{0}]?,
Retarget_AutoMapping_Title,130,Auto Mapping,자동 매핑,Cartographie automatique,Automatische Zuordnung,Mapeo automático,Mappatura automatica,Automatisk kortlægning,自動マッピング,自動映射,自动映射,Auto-mapowanie,
Retarget_AutoMapping_Body,131,Are you sure you want to map objects to be applied based on similar names?,이름을 기준으로 자동으로 적용될 대상들을 매핑하시겠습니까?,Êtes-vous sûr de vouloir mapper des objets à appliquer en fonction de noms similaires?,Sind Sie sicher[c] dass Sie Objekte[c] die auf ähnlichen Namen basieren[c] zuordnen möchten?,¿Seguro que quieres asignar los objetos que se aplicarán según nombres similares?,Sei sicuro di voler mappare gli oggetti da applicare in base a nomi simili?,Er du sikker på[c] at du vil kortlægge objekter[c] der skal anvendes baseret på lignende navne?,類似の名前に基づいて適用されるオブジェクトをマップしてもよろしいですか？,您確定要映射基於相似名稱的對象嗎？,您确定要映射基于相似名称的对象吗？,Czy na pewno chcesz zmapować obiekty do zastosowania na podstawie podobnych nazw?,
Retarget_AutoMappingPart_Body,132,Are you sure you want to map objects of [ {0} ] to be applied based on similar names?,이름을 기준으로 자동으로 [ {0} ]중에서 적용될 대상들을 매핑하시겠습니까?,Êtes-vous sûr de vouloir mapper des objets de [ {0} ] à appliquer en fonction de noms similaires?,Möchten Sie wirklich Objekte von [ {0} ] zuordnen[c] die basierend auf ähnlichen Namen angewendet werden sollen?,¿Seguro que quieres mapear objetos de [ {0} ] para aplicarlos en base a nombres similares?,Sei sicuro di voler mappare gli oggetti di [ {0} ] da applicare in base a nomi simili?,Er du sikker på at du vil kortlægge objekter af [ {0} ][c] der skal anvendes baseret på lignende navne?,[ {0} ]のオブジェクトを類似の名前に基づいて適用するようにマッピングしてもよろしいですか？,您確定要映射基於相似名稱的[ {0} ]對象來應用嗎？,您确定要映射基于相似名称的[ {0} ]对象来应用吗？,Czy na pewno chcesz zmapować obiekty [ {0} ] do zastosowania na podstawie podobnych nazw?,
Retarget_AutoMapping,133,Start Mapping,매핑하기,Démarrer le mappage,Starten Sie die Zuordnung,Comenzar mapeo,Inizia la mappatura,Start kortlægning,マッピングする,開始映射,开始映射,Rozpocznij mapowanie,
Retarget_ImportAnim_Title,134,Import Animation Clip,애니메이션 클립 가져오기,Importer un clip d'animation,Animationsclip importieren,Importar clip de animación,Importa clip di animazione,Importer animationsklip,アニメーションクリップの読み込み,導入動畫剪輯,导入动画剪辑,Importuj klip animacji,
Retarget_ImportAnimMerge_Body,135,Do you want to import animation clips while retaining existing data? It takes a little time.,기존의 데이터를 유지하며 애니메이션 클립을 가져옵니다. 시간이 조금 걸립니다.,Voulez-vous importer des clips d'animation tout en conservant les données existantes? Cela prend un peu de temps.,Möchten Sie Animationsclips importieren und dabei vorhandene Daten beibehalten? Es dauert ein wenig Zeit.,¿Desea importar clips de animación mientras conserva los datos existentes? Toma un poco de tiempo.,Vuoi importare clip di animazione mantenendo i dati esistenti? Ci vuole un po 'di tempo.,Vil du importere animationsklip[c] mens du beholder eksisterende data? Det tager lidt tid.,既存のデータを維持し[c]アニメーションクリップを取得します。時間が少しかかります。,你想在保留現有數據的同時導入動畫片段嗎？這需要一點時間。,你想在保留现有数据的同时导入动画片段吗？这需要一点时间。,Czy chcesz importować klipy animacji[c] zachowując istniejące dane? To zajmuje trochę czasu.,
Retarget_ImportAnimReplace_Body,136,Do you want to import animation clip to replace existing data? It takes a little time.,기존의 데이터를 삭제하고 애니메이션 클립을 가져옵니다. 시간이 조금 걸립니다.,Voulez-vous importer un clip d'animation pour remplacer des données existantes? Cela prend un peu de temps.,Möchten Sie den Animationsclip importieren[c] um vorhandene Daten zu ersetzen? Es dauert ein wenig Zeit.,¿Desea importar un clip de animación para reemplazar los datos existentes? Toma un poco de tiempo.,Vuoi importare clip di animazione per sostituire i dati esistenti? Ci vuole un po 'di tempo.,Vil du importere animationsklip for at erstatte eksisterende data? Det tager lidt tid.,既存のデータを削除して[c]アニメーションクリップを取得します。時間が少しかかります。,你想導入動畫片段來替換現有的數據嗎？這需要一點時間。,你想导入动画片段来替换现有的数据吗？这需要一点时间。,Czy chcesz zaimportować klip animacji[c] aby zastąpić istniejące dane? To zajmuje trochę czasu.,
Import,137,Import,가져오기,Importer,Einführen,Importar,Importa,Import,インポート,導入,导入,Import,
Export,138,Export,내보내기,Exporter,Export,Exportar,Esporta,Eksport,エクスポート,導出,导出,Eksport,
Retarget_ImportAnimComplete_Title,139,Import Complete,애니메이션 클립 가져오기 완료,Importation terminée,Import abgeschlossen,Importar completado,Importazione completata,Import fuldført,インポート完了,導入完成,导入完成,Importowanie zakończone,
Retarget_ImportAnimComplete_Body,140,Importing animated clips is complete.,애니메이션 클립을 적용하였습니다.,L'importation de clips animés est terminée.,Der Import animierter Clips ist abgeschlossen.,La importación de clips animados está completa.,L'importazione di clip animate è completa.,Importering af animerede klip er færdig.,アニメーションクリップの読み込みが完了しました。,導入動畫剪輯已完成。,导入动画剪辑已完成。,Importowanie animowanych klipów zostało zakończone.,
Retarget_RemoveSinglePose_Title,141,Remove Pose,포즈 삭제,Enlever la pose,Pose entfernen,Eliminar la pose,Rimuovi Posa,Fjern Pose,ポーズを削除,刪除姿勢,删除姿势,Usuń pozę,
Retarget_RemoveSinglePose_Body,142,Do you want to remove the selected Pose [ {0} ]?,포즈 [ {0} ]를 삭제하시겠습니까?,Voulez-vous supprimer la pose [ {0} ] sélectionnée?,Möchten Sie die ausgewählte Pose [ {0} ] entfernen?,¿Desea eliminar la Pose [ {0} ] seleccionada?,Vuoi rimuovere la posa selezionata [{0}]?,Vil du fjerne den valgte Pose [ {0} ]?,選択したポーズ[ {0} ]を削除しますか？,您是否要刪除選定的姿勢 [ {0} ]?,您是否要删除选定的姿势 [ {0} ]?,Czy chcesz usunąć wybraną pozę [{0}]?,
Retarget_SinglePoseImportFailed_Title,143,Pose Import Failed,포즈 가져오기 실패,L'importation de la pose a échoué,Pose-Import fehlgeschlagen,La importación de la pose falló,Importazione Pose non riuscita,Pose Import mislykkedes,ポーズインポートに失敗しました,姿勢導入失敗,姿势导入失败,Importowanie pozy nie powiodło się,
Retarget_SinglePoseImportFailed_Body_NoFile,144,The pose file does not exist.,포즈 파일이 존재하지 않습니다.,Le fichier de pose n'existe pas.,Die Pose-Datei existiert nicht.,El archivo de pose no existe.,Il file di posa non esiste.,Pose-filen findes ikke.,ポーズファイルが存在しません。,姿勢文件不存在。,姿势文件不存在。,Plik pozy nie istnieje.,
Retarget_SinglePoseImportFailed_Body_Error,145,An error occurred while importing the pose file.,가져오기 도중 에러가 발생했습니다.,Une erreur s'est produite lors de l'importation du fichier de pose.,Beim Importieren der Pose-Datei ist ein Fehler aufgetreten.,Se produjo un error al importar el archivo de pose.,Si è verificato un errore durante l'importazione del file di posa.,Der opstod en fejl under import af posisfilen.,ポーズファイルのインポート中にエラーが発生しました。,導入姿勢文件時發生錯誤。,导入姿势文件时发生错误。,Wystąpił błąd podczas importowania pliku ułożenia.,
ControlParamPreset_Regist_Title,146,Regist To Preset,프리셋으로 등록,Regist à prérégler,Voreingestellt,Regist para preestablecer,Registra per preimpostare,Registrér til forudindstillet,プリセットとして登録,註冊預設,注册预设,Zarejestruj się do ustawień wstępnych,
ControlParamPreset_Regist_Body,147,Do you want to register [ {0} ] as a preset?,선택된 [ {0} ] 파라미터를 프리셋으로 등록하시겠습니까?,Voulez-vous enregistrer [ {0} ] en tant que préréglage?,Möchten Sie [ {0} ] als Voreinstellung registrieren?,¿Desea registrar [ {0} ] como un ajuste preestablecido?,Vuoi salvare [ {0} ] come predefinito?,Vil du registrere [ {0} ] som en forudindstilling?,[ {0} ]をプリセットとして登録しますか？,您是否要將[ {0} ]註冊為預設？,您是否要将[ {0} ]注册为预设？,Czy chcesz zarejestrować [ {0} ] jako ustawienie wstępne?,
ControlParamPreset_Regist_Okay,148,Regist,등록,Regist,Registrierung,Regist,Regist,Regist,登録,註冊,注册,Zarejestrować,
ControlParamPreset_Remove_Title,149,Remove Preset,프리셋 삭제,Supprimer le paramètre prédéfini,Voreinstellung entfernen,Eliminar el preajuste,Elimina il preset,Fjern forudindstillet,プリセットを削除,刪除預設,删除预设,Usuń ustawienie wstępne,
ControlParamPreset_Remove_Body,150,Do you want to remove the selected preset [ {0} ]?,선택한 프리셋 [ {0} ]을 삭제하시겠습니까?,Voulez-vous supprimer le préréglage sélectionné [ {0} ]?,Möchten Sie die ausgewählte Voreinstellung [ {0} ] entfernen?,¿Desea eliminar el ajuste preestablecido seleccionado [ {0} ]?,Vuoi rimuovere il preset selezionato [ {0} ]?,Vil du fjerne den valgte forudindstillede [ {0} ]?,選択したプリセット[ {0} ]を削除しますか？,是否要刪除所選的預設[ {0} ]？,是否要删除所选的预设[ {0} ]？,Czy chcesz usunąć wybrane ustawienie [ {0} ]?,
ControlParamPreset_NameOverwrite_Title,151,Applying Control Parameter,컨트롤 파라미터 적용 안내,Application du paramètre de contrôle,Anwenden von Steuerparametern,Aplicando el parámetro de control,Applicazione del parametro di controllo,Anvendelse af kontrolparameter,制御パラメータの適用,應用控制參數,应用控制参数,Stosowanie parametru kontrolnego,
ControlParamPreset_NameOverwrite_Body,152,A Control Parameter with the same name exists. Only properties other than names are applied.,동일한 이름의 컨트롤 파라미터가 존재합니다. 이름을 제외한 나머지 프로퍼티들만 적용됩니다.,Un paramètre de contrôle portant le même nom existe. Seules les propriétés autres que les noms sont appliquées.,Ein Steuerparameter mit demselben Namen existiert. Nur andere Eigenschaften als Namen werden angewendet.,Existe un parámetro de control con el mismo nombre. Solo se aplican las propiedades que no sean nombres.,Esiste un parametro di controllo con lo stesso nome. Vengono applicate solo proprietà diverse dai nomi.,Der findes en kontrolparameter med samme navn. Kun andre egenskaber end navne anvendes.,同じ名前の制御パラメータが存在します。名前以外のプロパティのみが適用されます。,存在具有相同名稱的控制參數。只有名稱以外的屬性被應用。,存在具有相同名称的控制参数。只有名称以外的属性被应用。,Istnieje parametr kontrolny o tej samej nazwie. Używane są tylko właściwości inne niż nazwy.,
OptPortrait_LoadError_Title,153,Optimized Portrait Open Error,최적화된 포트레이트 로드 에러,Erreur portrait optimisée ouverte,Optimierter Portrait Open Error,Optimizado retrato abierto error,Errore di apertura ritratto ottimizzato,Optimeret portræt åben fejl,最適化されたポートレートオープンエラー,優化肖像打開錯誤,优化肖像打开错误,Zoptymalizowany błąd otwierania portretu,
OptPortrait_LoadError_Body,154,An Optimized Portrait can not be opened.,최적화된 포트레이트는 편집이 불가능하여 열 수 없습니다.,Un portrait optimisé ne peut pas être ouvert.,Ein optimiertes Porträt kann nicht geöffnet werden.,Un retrato optimizado no se puede abrir.,Un ritratto ottimizzato non può essere aperto.,Et optimeret portræt kan ikke åbnes.,最適化されたポートレートを開くことはできません。,優化的人像無法打開。,优化的人像无法打开。,Zoptymalizowany portret nie może zostać otwarty.,
OptBakeError_Title,155,Optimized Baking,최적화된 베이킹,Exportation optimisée,Optimiertes Backen,Exportación optimizada,Esportazione ottimizzata,Optimeret Bagning,最適化されたベーキング,優化的烘烤,优化的烘烤,Zoptymalizowane pieczenie,
OptBakeError_NotOptTarget_Body,156,The selected Portrait is not optimized.,선택한 포트레이트는 최적화 대상이 아닙니다.,Le portrait sélectionné n'est pas optimisé.,Das ausgewählte Portrait ist nicht optimiert.,El retrato seleccionado no está optimizado.,Il ritratto selezionato non è ottimizzato.,Den valgte Portræt er ikke optimeret.,選択したポートレイトは最適化されていません。,所選的肖像未優化。,所选的肖像未优化。,Wybrany portret nie jest zoptymalizowany.,
OptBakeError_SrcMatchError_Body,157,The selected target does not seem to be baked from this portrait. Do you want to ignore and select it?,선택한 대상이 이 포트레이트로부터 베이킹된 것 같지 않습니다. 무시하고 선택하시겠습니까?,La cible sélectionnée ne semble pas être exportée de ce portrait. Voulez-vous l'ignorer et le sélectionner?,Das ausgewählte Ziel scheint von diesem Porträt nicht gebacken worden zu sein. Möchtest du es ignorieren und auswählen?,El objetivo seleccionado no parece exportarse desde este retrato. ¿Quieres ignorarlo y seleccionarlo?,Il bersaglio selezionato non sembra essere cotto da questo ritratto. Vuoi ignorarlo e selezionarlo?,Det valgte mål synes ikke at være bagt fra dette portræt. Vil du ignorere og vælge den?,選択したターゲットはこのポートレートから焼かれていないようです。それを無視して選択しますか？,所選的目標似乎不是從這個肖像烘烤。你想忽略並選擇它嗎?,所选的目标似乎不是从这个肖像烘烤。你想忽略并选择它吗?,Wybrany cel nie wydaje się być wypalony z tego portretu. Czy chcesz go zignorować i wybrać?,
DLG_SelectTimelineTypeToAdd,158,Select Timeline Type to Add,추가할 타임라인 종류를 선택하세요,Choisissez type de Timeline,Wählen Sie den Zeitachsen-Typ,Seleccione un tipo,Seleziona un tipo di Timeline,Vælg Tidslinjetype for at tilføje,追加するタイムラインタイプを選択,選擇要添加的時間線類型,选择要添加的时间线类型,Wybierz Typ osi czasu[c] aby dodać,
DLG_TimelineTypes,159,Timeline Types,타임라인 종류,Types de Timeline,Zeitachsen-Typen,Tipos de Timeline,Tipi di Timeline,Tidslinjetyper,タイムラインの種類,時間線類型,时间线类型,Rodzaje osi czasu,
DLG_Select,160,Select,선택,Choisir,Wählen,Seleccionar,Selezionare,Vælg,選択,選擇,选择,Wybierz,
DLG_Close,161,Close,닫기,Fermer,Schließen,Cerca,Vicino,Tæt,閉じる,關,关,Zamknąć,
DLG_ControlParameters,162,Control Parameters,컨트롤 파라미터,Paramètres de contrôle,Regelparameter,Parámetros de control,Parametri di controllo,Kontrolparametre,制御パラメータ,控制參數,控制参数,Parametry kontrolne,
DLG_Modifier,163,Modifier,모디파이어,Modificateur,Modifikator,Modificador,Modificatore,Modifier,モディファイア,修改,修改,Modyfikator,
DLG_Mesh,164,Mesh,메시,Maillage,Netz,Malla,Maglia,Mesh,メッシュ,網格劃分,网格划分,Siatka,
DLG_Meshes,165,Meshes,메시,Maillages,Netze,Mallas,Maglie,Masker,メッシュ,網格劃分,网格划分,Siatki,
DLG_MeshGroup,166,Mesh Group,메시 그룹,Groupe de maillage,Netzgruppe,Grupo de malla,Gruppo di maglie,Mesh Gruppe,メッシュグループ,網格劃分組,网格划分组,Grupa siatki,
DLG_MeshGroups,167,Mesh Groups,메시 그룹,Groupes de maillage,Netzgruppen,Grupos de malla,Gruppi di maglie,Mesh Grupper,メッシュグループ,網格劃分組,网格划分组,Grupy siatki,
DLG_Add,168,Add,추가,Ajouter,Hinzufügen,Añadir,Inserisci,Tilføje,追加,加,加,Dodaj,
DLG_Cancel,169,Cancel,취소,Annuler,Stornieren,Cancelar,Annulla,Afbestille,キャンセル,取消,取消,Anuluj,
DLG_SelectModifier,170,Select Modifier,모디파이어를 선택하세요,Choisissez modificateur,Wählen Modifikator,Seleccionar modificador,Seleziona Modificatore,Vælg modifikator,モディファイヤを選択,選擇修改器,选择修改器,Wybierz modyfikator,
DLG_Modifiers,171,Modifiers,모디파이어,Modificateurs,Modifikatoren,Modificadores,Modificatori,Modifiers,モディファイヤ,修飾符,修饰符,Modyfikatory,
DLG_ModInfo_NotSelectableInDemo,172,It is not selectable[]in the [Demo Version],데모 버전에서는[]선택할 수 없습니다.,Il n'est pas sélectionnable[]dans la [Démonstration],Es ist nicht wählbar[]in der [Demo Version],No es seleccionable[]en la [Versión de Demo],Non è selezionabile[]nella [Versione demo],Det kan ikke vælges[]i [Demo Version],デモ版では[c][]を選択することができません。,在[Demo版本]中不能選擇,在[Demo版本]中不能选择,Nie można go wybrać[] w [Wersja demo],
DLG_ModInfo_Morph,173,Changing shape freely[]according to [Controller],[컨트롤러]로 모양을[]자유롭게 바꿉니다,Changement de forme librement[]selon [Contrôleur],Form frei ändern[]nach [Controller],Cambiando forma libremente[]por [Controlador],Modifica della forma liberamente[]in base a [Controller],Ændring af form frit[]ifølge [Controller],「コントローラ」に従ってシェイプ[]を自由に変更する,根據[控制器]自由改變形狀,根据[控制器]自由改变形状,Zmiana kształtu dowolnie[] zgodnie z [Kontroler],
DLG_ModInfo_AnimatedMorph,174,Changing shape freely[]according to [Animation],[애니메이션]으로 모양을[]자유롭게 바꿉니다,Changer de forme librement[]selon [Animation],Form frei verändern[]nach [Animation],Cambiando forma libremente[]por [Animación],Cambiare forma liberamente[]secondo [Animazione],Ændring af form frit[]ifølge [Animation],「アニメーション」に従って自由に[]形を変える,根據[動畫]自由改變形狀,根据[动画]自由改变形状,Zmiana kształtu dowolnie[] zgodnie z [Animacja],
DLG_ModInfo_Rigging,175,Adding [Bones][]to make joint animation,관절 애니메이션을 위해[][본]을 추가합니다,Ajouter [des os]pour faire[]animation conjointe,[Knochen] für gemeinsame []Animation hinzufügen,Agregar [Huesos][]para la animación conjunta,Aggiungi [Ossa] per fare [] un'animazione congiunta,Tilføjelse af [Knogler][]for at lave fælles animation,「ボーン」を追加して[]「ジョイントアニメーション」を作成する,添加[骨骼] 進行關節動畫,添加[骨骼] 进行关节动画,Dodawanie [kości][]do tworzenia animacji kości,
DLG_ModInfo_Physic,176,Entering [Physical Information][]to give inertia,[물리 정보]를 입력하여[]관성을 추가합니다.,Entrer [Information physique][]pour donner l'inertie,Eingabe von[][Physikalischen Informationen],Ingresando [Información física][]para dar inercia,Immissione di [Informazioni fisiche][]per dare inerzia,Indtastning [Fysisk information][]for at give inerti,慣性を与えるために[物理情報] []を入力する,輸入[物理信息] 給出慣性,输入[物理信息] 给出惯性,Wprowadzanie [Informacje fizyczne][]w celu nadania inercji,
DLG_ModInfo_TF,177,Changing shape[]with basic transformation[]according to [Controller],[컨트롤러]로 기본 형태를[]바꿀 수 있습니다.,Changement de forme[]avec transformation de base[]en fonction de [Contrôleur],Form mit Basistransformation ändern[]nach [Controller],Cambio de forma[]con transformación básica[]según [Controlador],Cambio di forma[]con trasformazione di base[]in base a [Controller],Ændring af form[]med grundlæggende transformation[]ifølge [Controller],[コントローラ]に従って基本変形[]で形状を変更する,根據[控制器]使用基本變換更改形狀,根据[控制器]使用基本变换更改形状,Zmiana kształtu[] z podstawową transformacją[] zgodnie z [Kontroler],
DLG_ModInfo_AnimatedTF,178,Changing shape[]with basic transformation[]according to [Animation],[애니메이션]으로 기본 형태를[]바꿀 수 있습니다.,Changer la forme[]avec la transformation de base[]selon [Animation],Form ändern mit Basistransformation[]nach [Animation],Cambio de forma[]con transformación básica[]según [Animación],Cambia la forma[]con la trasformazione di base[]in base a [Animazione],Ændring af form[]med grundlæggende transformation[]ifølge [Animation],[アニメーション]に従って基本変形[]で形状を変更する,根據[動畫]使用基本變換更改形狀,根据[动画]使用基本变换更改形状,Zmiana kształtu[] z podstawową transformacją[] zgodnie z [Animacja],
DLG_AnimationEvents,179,Animation Events,애니메이션 이벤트,Événements d'animation,Animationsereignisse,Eventos de animación,Eventi di animazione,Animationsbegivenheder,アニメーションイベント,動畫事件,动画事件,Wydarzenia animacji,
DLG_Range,180,Range,범위,Gamme,Angebot,Distancia,Gamma,Rækkevidde,範囲,範圍,范围,Zasięg,
DLG_IsLoopAnimation,181,Is Loop Animation,루프 애니메이션인가,Est en boucle,Ist Schleifenanimation,Animación de bucle,È Loop Animation,Er Loop Animation,ループアニメーション,是循環動畫,是循环动画,Jest animacją w pętli,
DLG_AddEvent,182,Add Event,이벤트 추가,Ajouter,Hinzufügen,Añadir evento,Aggiungi evento,Tilføj,イベントを追加,添加事件,添加事件,Dodaj wydarzenie,
DLG_Sort,183,Sort,정렬,Trier,Sortieren,Clasificar,Ordinare,Sortere,ソート,排序,排序,Sortować,
DLG_EventName,184,Event(Function) Name,이벤트(함수) 이름,Nom(Fonction),Name(Funktion),Nombre (función),Nome (funzione),Navn (Funktion) ,イベント(機能)名,事件(功能)名稱,事件(功能)名称,Nazwa (funkcji),
DLG_CallMethod,185,Call Method,호출 방식,Méthode,Anrufmethode,Método,Metodo,Opkaldsmetode,呼び出しメソッド,調用方法,调用方法,Metoda,
DLG_TargetFrame,186,Target Frame,대상 프레임,Cadre cible,Zielrahmen,Marco objetivo,Bersaglio,Målramme,ターゲットフレーム,目標框架,目标框架,Klatki docelowej,
DLG_StartFrame,187,Start Frame,시작 프레임,Départ cadre,Rahmen starten,Marco inicial,Inizia Frame,Startramme,開始フレーム,開始幀,开始帧,Początek,
DLG_EndFrame,188,End Frame,종료 프레임,Fin cadre,Endrahmen,Marco final,End Frame,Slutramme,終了フレーム,結束幀,结束帧,Koniec,
DLG_Parameters,189,Parameters,매개 변수들,Paramètres,Parameter,Parámetros,Parametri,Parametre,パラメーター,參數,参数,Parametry,
DLG_AddParameter,190,Add Parameter,매개 변수 추가,Ajouter paramètre,Parameter hinzufügen,Agregar parámetro,Aggiungi parametro,Tilføj parameter,パラメータの追加,添加參數,添加参数,Dodaj parametr,
DLG_RemoveEvent,191,Remove Event,이벤트 제거,Supprimer,Ereignis entfernen,Eliminar evento,Rimuovi evento,Fjern begivenhed,イベントを削除,刪除事件,删除事件,Usuń wydarzenie,
DLG_NotSelected,192,Not Selected,선택되지 않음,Non séléctionné,Nicht ausgewählt,No seleccionado,Non selezionato,Ikke valgt,未選択,未選中,未选中,Nie zaznaczone,
DLG_Portrait,193,Portrait,포트레이트,Portrait,Porträt,Retrato,Ritratto,Portræt,ポートレート,肖像,肖像,Portret,
DLG_BakeSetting,194,Bake Setting,내보내기 설정,Paramètres,Backen Einstellung,Config de export,Impostazioni di esportazione,Bake Setting,ベークの設定,烘烤設置,烘烤设置,Ustawienie pieczenia,
DLG_BakeScale,195,Bake Scale,크기 비율,Echelle,Backen Skala,Escala,Scala,Bake Scale,ベークスケール,尺寸比例,尺寸比例,Skala pieczenia,
DLG_ZPerDepth,196,Z Per Depth,깊이당 Z값,Z par profondeur,Z pro Tiefe,Z por profundidad,Z per profondità,Z pr. Dybde,Z当たりの深さ,Z深度,Z深度,Z Głębokość,
DLG_Bake,197,Bake,내보내기,Exporter,Backen,Exportación,Esportazione,Bage,ベーク,烘烤,烘烤,Piec,
DLG_OptimizedBaking,198,Optimized Baking,최적화된 내보내기,Exportation optimisée,Optimiertes Backen,Exportación optimizada,Esportazione ottimizzata,Optimeret Bagning,最適化されたベーキング,優化的烘烤,优化的烘烤,Piec zoptymalizowany,
DLG_Target,199,Target,대상,Cible,Ziel,Objetivo,Bersaglio,Mål,ターゲット,對象,对象,Cel,
DLG_OptimizedBakeTo,200,Optimized Bake to,최적화된 내보내기 대상,Export optimisée vers,Optimiertes Backen zu,Opt-Exportación para,Esportazione ottimizzata a,Optimeret Bage til,最適化されたベーク,優化烘焙,优化烘焙,Piec zoptymalizowany do,
DLG_OptimizedBakeMakeNew,201,Optimized Bake[](Make New GameObject),최적화된 내보내기 대상[](새로운 GameObject 만들기),Export optimisée[](Créer nouveau GameObject),Optimiertes Backen[](Neues GameObject),Opt-Exportación[](Crea nuevo GameObject),Esportazione ottimizzata[](Crea un nuovo GameObject),Optimeret Bage[](Lav nyt GameObject),最適化されたベーク[](新しいGameObjectを作る),優化的烘焙[](創建一個新的GameObject),优化的烘焙[](创建一个新的GameObject),Piec zoptymalizowany[](Utwórz nowy GameObject),
